こしょう	11.000000
刻みのり	6.000000
砂糖	4.110549
長ねぎ	3.724138
サラダ油	2.427632
豆腐	2.105263
和風だしの素	2.000000
にんにく	1.794393
小豆	1.777778
木綿豆腐	1.777778
油揚げ	1.764706
しょうゆ	1.677316
卵	1.488372
にんじん	1.383721
焼き豆腐	1.333333
さば	1.333333
万能ねぎ	1.280000
ごぼう	1.254098
白菜	1.176471
もち米	1.142857
すりごま	1.142857
出雲そば	1.000000
三つ葉	1.000000
干しかれい	1.000000
小ネギ（小口切り）	1.000000
大根おろし	1.000000
焼のり	1.000000
かき	1.000000
茶そば	1.000000
もみじおろし（薬味）	1.000000
レモン	1.000000
ゆでたこの足	1.000000
牛肉	1.000000
すり黒ゴマ	1.000000
牡蠣むき身	1.000000
なす	0.909091
米	0.761905
しいたけ	0.761905
しょうが	0.740299
みそ	0.680000
削り節	0.666667
酒	0.590441
大根	0.489937
塩	0.424069
しじみ（殻つき）	0.404762
薄口しょうゆ	0.347826
酢	0.291667
昆布	0.245614
そばつゆ	0.180735
貝割れ菜	0.180735
みりん	0.148315
わけぎ	0.093168
もやし	0.090615
鶏もも肉	0.054561
赤味噌	0.039216
しらたき	0.039216
牛薄切り肉	0.026316
里芋	0.024896
だし汁	0.009097
水	0.009045
片栗粉	0.000000
めんつゆ	0.000000
